election,year,constit,party,name,seats,quota,electorate,turnout,valid,spoilt,transfers,round_totals
Presidential Election,2011,Dublin Central ,Labour Party,Michael D. Higgins,0,28236,54500,28236,27885,351,"[12267, 447, 2269, 3558]","[12267, 12714, 14983, 18541]"
Presidential Election,2011,Dublin Central ,Sinn Féin,Martin McGuinness,0,28236,54500,28236,27885,351,"[4485, 146, 417, -5048]","[4485, 4631, 5048, 0]"
Presidential Election,2011,Dublin Central ,Fine Gael,Gay Mitchell,0,28236,54500,28236,27885,351,"[1392, 249, 237, 0]","[1392, 1641, 1878, 1878]"
Presidential Election,2011,Dublin Central ,Independent,David Norris,0,28236,54500,28236,27885,351,"[3588, 174, -3762, 0]","[3588, 3762, 0, 0]"
Presidential Election,2011,Dublin Central ,Independent,Dana Rosemary Scallon,0,28236,54500,28236,27885,351,"[756, -756, 0, 0]","[756, 0, 0, 0]"
Presidential Election,2011,Dublin Central ,Independent,Mary Davis,0,28236,54500,28236,27885,351,"[820, 0, 0, 0]","[820, 820, 820, 820]"
Presidential Election,2011,Dublin Mid–West ,Independent,Sean Gallagher,0,34113,64370,34113,33717,396,"[7436, 370, 559, 1590]","[7436, 7806, 8365, 9955]"
Presidential Election,2011,Dublin Mid–West ,Labour Party,Michael D. Higgins,0,34113,64370,34113,33717,396,"[13594, 502, 1810, 4623]","[13594, 14096, 15906, 20529]"
Presidential Election,2011,Dublin Mid–West ,Sinn Féin,Martin McGuinness,0,34113,64370,34113,33717,396,"[5374, 155, 466, -5995]","[5374, 5529, 5995, 0]"
Presidential Election,2011,Dublin Mid–West ,Fine Gael,Gay Mitchell,0,34113,64370,34113,33717,396,"[2176, 239, 313, 0]","[2176, 2415, 2728, 2728]"
Presidential Election,2011,Dublin Mid–West ,Independent,David Norris,0,34113,64370,34113,33717,396,"[3428, 162, -3590, 0]","[3428, 3590, 0, 0]"
Presidential Election,2011,Dublin Mid–West ,Independent,Dana Rosemary Scallon,0,34113,64370,34113,33717,396,"[670, -670, 0, 0]","[670, 0, 0, 0]"
Presidential Election,2011,Dublin Mid–West ,Independent,Mary Davis,0,34113,64370,34113,33717,396,"[1039, 0, 0, 0]","[1039, 1039, 1039, 1039]"
Presidential Election,2011,Dublin North ,Independent,Sean Gallagher,7,39731,69347,39731,39330,401,"[10014, 440, 729, 1336]","[10014, 10454, 11183, 12519]"
Presidential Election,2011,Dublin North ,Labour Party,Michael D. Higgins,7,39731,69347,39731,39330,401,"[17630, 614, 2154, 3881]","[17630, 18244, 20398, 24279]"
Presidential Election,2011,Dublin North ,Sinn Féin,Martin McGuinness,7,39731,69347,39731,39330,401,"[4097, 160, 421, -4678]","[4097, 4257, 4678, 0]"
Presidential Election,2011,Dublin North ,Fine Gael,Gay Mitchell,7,39731,69347,39731,39330,401,"[1742, 252, 283, 0]","[1742, 1994, 2277, 2277]"
Presidential Election,2011,Dublin North ,Independent,David Norris,7,39731,69347,39731,39330,401,"[3868, 205, -4073, 0]","[3868, 4073, 0, 0]"
Presidential Election,2011,Dublin North ,Independent,Dana Rosemary Scallon,7,39731,69347,39731,39330,401,"[726, -726, 0, 0]","[726, 0, 0, 0]"
Presidential Election,2011,Dublin North ,Independent,Mary Davis,7,39731,69347,39731,39330,401,"[1253, 0, 0, 0]","[1253, 1253, 1253, 1253]"
Presidential Election,2011,Dublin North–Central ,Independent,Sean Gallagher,9,33239,51929,33239,32858,381,"[6603, 423, 491, 1157]","[6603, 7026, 7517, 8674]"
Presidential Election,2011,Dublin North–Central ,Labour Party,Michael D. Higgins,9,33239,51929,33239,32858,381,"[15230, 542, 2020, 3864]","[15230, 15772, 17792, 21656]"
Presidential Election,2011,Dublin North–Central ,Sinn Féin,Martin McGuinness,9,33239,51929,33239,32858,381,"[3678, 187, 373, -4238]","[3678, 3865, 4238, 0]"
Presidential Election,2011,Dublin North–Central ,Fine Gael,Gay Mitchell,9,33239,51929,33239,32858,381,"[1953, 317, 280, 0]","[1953, 2270, 2550, 2550]"
Presidential Election,2011,Dublin North–Central ,Independent,David Norris,9,33239,51929,33239,32858,381,"[3434, 163, -3597, 0]","[3434, 3597, 0, 0]"
Presidential Election,2011,Dublin North–Central ,Independent,Dana Rosemary Scallon,9,33239,51929,33239,32858,381,"[812, -812, 0, 0]","[812, 0, 0, 0]"
Presidential Election,2011,Dublin North–Central ,Independent,Mary Davis,9,33239,51929,33239,32858,381,"[1148, 0, 0, 0]","[1148, 1148, 1148, 1148]"
Presidential Election,2011,Dublin North–East ,Independent,Sean Gallagher,7,34462,57627,34462,34062,400,"[7138, 526, 589, 1341]","[7138, 7664, 8253, 9594]"
Presidential Election,2011,Dublin North–East ,Labour Party,Michael D. Higgins,7,34462,57627,34462,34062,400,"[14956, 688, 1973, 4006]","[14956, 15644, 17617, 21623]"
Presidential Election,2011,Dublin North–East ,Sinn Féin,Martin McGuinness,7,34462,57627,34462,34062,400,"[4484, 196, 391, -5071]","[4484, 4680, 5071, 0]"
Presidential Election,2011,Dublin North–East ,Fine Gael,Gay Mitchell,7,34462,57627,34462,34062,400,"[1727, 280, 283, 0]","[1727, 2007, 2290, 2290]"
Presidential Election,2011,Dublin North–East ,Independent,David Norris,7,34462,57627,34462,34062,400,"[3512, 218, -3730, 0]","[3512, 3730, 0, 0]"
Presidential Election,2011,Dublin North–East ,Independent,Dana Rosemary Scallon,7,34462,57627,34462,34062,400,"[754, -754, 0, 0]","[754, 0, 0, 0]"
Presidential Election,2011,Dublin North–East ,Independent,Mary Davis,7,34462,57627,34462,34062,400,"[1491, 0, 0, 0]","[1491, 1491, 1491, 1491]"
Presidential Election,2011,Dublin North–West ,Independent,Sean Gallagher,0,25361,50410,25361,25003,358,"[5069, 339, 433, 1370]","[5069, 5408, 5841, 7211]"
Presidential Election,2011,Dublin North–West ,Labour Party,Michael D. Higgins,0,25361,50410,25361,25003,358,"[9709, 414, 1363, 3397]","[9709, 10123, 11486, 14883]"
Presidential Election,2011,Dublin North–West ,Sinn Féin,Martin McGuinness,0,25361,50410,25361,25003,358,"[4985, 157, 386, -5528]","[4985, 5142, 5528, 0]"
Presidential Election,2011,Dublin North–West ,Fine Gael,Gay Mitchell,0,25361,50410,25361,25003,358,"[1111, 222, 204, 0]","[1111, 1333, 1537, 1537]"
Presidential Election,2011,Dublin North–West ,Independent,David Norris,0,25361,50410,25361,25003,358,"[2638, 127, -2765, 0]","[2638, 2765, 0, 0]"
Presidential Election,2011,Dublin North–West ,Independent,Dana Rosemary Scallon,0,25361,50410,25361,25003,358,"[576, -576, 0, 0]","[576, 0, 0, 0]"
Presidential Election,2011,Dublin North–West ,Independent,Mary Davis,0,25361,50410,25361,25003,358,"[915, 0, 0, 0]","[915, 915, 915, 915]"
Presidential Election,2011,Dublin South ,Independent,Sean Gallagher,5,64492,104145,64492,63978,514,"[12814, 723, 940, 1823]","[12814, 13537, 14477, 16300]"
Presidential Election,2011,Dublin South ,Labour Party,Michael D. Higgins,5,64492,104145,64492,63978,514,"[32673, 1169, 3975, 6816]","[32673, 33842, 37817, 44633]"
Presidential Election,2011,Dublin South ,Sinn Féin,Martin McGuinness,5,64492,104145,64492,63978,514,"[4146, 196, 437, -4779]","[4146, 4342, 4779, 0]"
Presidential Election,2011,Dublin South ,Fine Gael,Gay Mitchell,5,64492,104145,64492,63978,514,"[4684, 596, 552, 0]","[4684, 5280, 5832, 5832]"
Presidential Election,2011,Dublin South ,Independent,David Norris,5,64492,104145,64492,63978,514,"[6265, 295, -6560, 0]","[6265, 6560, 0, 0]"
Presidential Election,2011,Dublin South ,Independent,Dana Rosemary Scallon,5,64492,104145,64492,63978,514,"[1296, -1296, 0, 0]","[1296, 0, 0, 0]"
Presidential Election,2011,Dublin South ,Independent,Mary Davis,5,64492,104145,64492,63978,514,"[2100, 0, 0, 0]","[2100, 2100, 2100, 2100]"
Presidential Election,2011,Dublin South–Central ,Independent,Sean Gallagher,8,41604,77688,41604,41075,529,"[6154, 393, 565, 2329]","[6154, 6547, 7112, 9441]"
Presidential Election,2011,Dublin South–Central ,Labour Party,Michael D. Higgins,8,41604,77688,41604,41075,529,"[16391, 524, 2698, 7360]","[16391, 16915, 19613, 26973]"
Presidential Election,2011,Dublin South–Central ,Sinn Féin,Martin McGuinness,8,41604,77688,41604,41075,529,"[6803, 213, 578, -7594]","[6803, 7016, 7594, 0]"
Presidential Election,2011,Dublin South–Central ,Fine Gael,Gay Mitchell,8,41604,77688,41604,41075,529,"[4971, 412, 516, 0]","[4971, 5383, 5899, 5899]"
Presidential Election,2011,Dublin South–Central ,Independent,David Norris,8,41604,77688,41604,41075,529,"[4703, 195, -4898, 0]","[4703, 4898, 0, 0]"
Presidential Election,2011,Dublin South–Central ,Independent,Dana Rosemary Scallon,8,41604,77688,41604,41075,529,"[937, -937, 0, 0]","[937, 0, 0, 0]"
